song,listener,score,left_bass,right_bass,left_drums,right_drums,left_other,right_other,left_vocals,right_vocals
Fergessen - Nos Palpitants,L5011,0.22640082762410285,0.10482471715580247,0.1325358440235889,0.19317041770274562,0.1904415501058119,0.3065420735485021,0.3061364169383698,0.29742674475091846,0.2801288567670837
Fergessen - Nos Palpitants,L5014,0.27106933306880215,0.16094062970047318,0.15546532574866156,0.1822211676390448,0.1814716393339048,0.3807971629955995,0.38158029130456605,0.3719287062873046,0.35414974154086254
Fergessen - Nos Palpitants,L5062,0.24811536008268814,0.15678794186582728,0.16622297620405324,0.19293678731079628,0.1958714736370352,0.35194932751441643,0.34120206861973934,0.3118310509047335,0.268121254604904
Fergessen - Nos Palpitants,L5005,0.2635434721760892,0.14306935605442753,0.14840816026161285,0.18267959154288554,0.18143687227123373,0.38147685614582943,0.36872247484839443,0.37191496189926565,0.3306395043850643
Fergessen - Nos Palpitants,L5045,0.2454675545220525,0.14641577788189103,0.1597796055630289,0.19510761758681888,0.19232069216288888,0.3511337412620895,0.34744660484791257,0.2945046354767141,0.27703176139507624
James May - On The Line,L5076,0.20814573117174826,0.18642551505151017,0.18646984096357067,0.15329266694658095,0.16080154326944512,0.2863742664172272,0.2667080235969278,0.21017595669470585,0.2149180364340183
James May - On The Line,L5013,0.2307301978666066,0.19015117307825538,0.2015493766977556,0.1467354685145547,0.15598665358184688,0.34395848391097894,0.3169438995717162,0.24179227410867327,0.24872425346907176
James May - On The Line,L5085,0.2137555941654427,0.19347730862614862,0.1995090122719838,0.14868889308408045,0.16687361516788854,0.29875342916934966,0.2724368391435494,0.21601827995895895,0.21428737590158214
James May - On The Line,L5053,0.2028756012111673,0.17676921046770208,0.1743817846107207,0.15669199956153768,0.16503076015838541,0.2721364283832981,0.25711355439810796,0.20916182933180089,0.21171924277778553
James May - On The Line,L5037,0.21960503482239674,0.17405836588086296,0.1757030719259391,0.1499621993654043,0.1609520211624033,0.3544702529796647,0.27464855561558643,0.2482847249936162,0.21876108665569696
James May - On The Line,L5043,0.21651306543464674,0.19098078748702838,0.18482085615245136,0.14995270667515867,0.15517728289753308,0.3164604622967463,0.2838734547094649,0.22499366039877577,0.2258453128600154
James May - On The Line,L5068,0.2004212202240723,0.1746466906953264,0.1683421573314512,0.15872403240682478,0.1695940100842634,0.26895085253351103,0.24389122500667615,0.20893542148686506,0.21028537224766025
